Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
QQQ,025537101,AEP ,"6,756,433","659,630,553.79",0.442,American Electric Power Co Inc,Common Stock,Utilities,01/11/2023
QQQ,571903202,MAR ,"4,161,931","659,541,205.57",0.442,Marriott International Inc/MD,Common Stock,Consumer Discretionary,01/11/2023
QQQ,58733R102,MELI ,"661,372","619,573,289.60",0.415,MercadoLibre Inc,Common Stock,Consumer Discretionary,01/11/2023
QQQ,127387108,CDNS ,"3,606,830","607,642,650.10",0.407,Cadence Design Systems Inc,Common Stock,Information Technology,01/11/2023
QQQ,172908105,CTAS ,"1,335,165","606,111,503.40",0.406,Cintas Corp,Common Stock,Industrials,01/11/2023
QQQ,30161N101,EXC ,"13,066,056","576,735,711.84",0.386,Exelon Corp,Common Stock,Utilities,01/11/2023
QQQ,N6596X109,NXPI ,"3,407,129","574,884,876.17",0.385,NXP Semiconductors NV,Common Stock,Information Technology,01/11/2023
QQQ,722304102,PDD ,"6,154,455","572,487,404.10",0.383,Pinduoduo Inc ADR,American Depository Receipt,Consumer Discretionary,01/11/2023
QQQ,052769106,ADSK ,"2,838,145","567,430,329.85",0.380,Autodesk Inc,Common Stock,Information Technology,01/11/2023
QQQ,704326107,PAYX ,"4,738,731","567,131,326.08",0.380,Paychex Inc,Common Stock,Information Technology,01/11/2023
QQQ,046353108,AZN ,"8,032,551","565,893,217.95",0.379,AstraZeneca PLC ADR,American Depository Receipt,Health Care,01/11/2023
QQQ,778296103,ROST ,"4,563,311","545,498,196.94",0.365,Ross Stores Inc,Common Stock,Consumer Discretionary,01/11/2023
QQQ,595017104,MCHP ,"7,231,708","545,270,783.20",0.365,Microchip Technology Inc,Common Stock,Information Technology,01/11/2023
QQQ,697435105,PANW ,"3,975,527","543,494,296.17",0.364,Palo Alto Networks Inc,Common Stock,Information Technology,01/11/2023
QQQ,09062X103,BIIB ,"1,893,371","539,667,536.13",0.361,Biogen Inc,Common Stock,Health Care,01/11/2023
QQQ,252131107,DXCM ,"5,078,646","539,149,059.36",0.361,Dexcom Inc,Common Stock,Health Care,01/11/2023
QQQ,98389B100,XEL ,"7,195,352","523,677,718.56",0.351,Xcel Energy Inc,Common Stock,Utilities,01/11/2023
QQQ,45168D104,IDXX ,"1,088,938","504,200,072.76",0.338,IDEXX Laboratories Inc,Common Stock,Health Care,01/11/2023
QQQ,550021109,LULU ,"1,608,161","501,681,905.56",0.336,Lululemon Athletica Inc,Common Stock,Consumer Discretionary,01/11/2023
QQQ,34959E109,FTNT ,"10,271,763","501,262,034.40",0.336,Fortinet Inc,Common Stock,Information Technology,01/11/2023
QQQ,009066101,ABNB ,"5,236,217","494,508,333.48",0.331,Airbnb Inc,Common Stock,Consumer Discretionary,01/11/2023
QQQ,693718108,PCAR ,"4,572,554","462,102,307.24",0.309,PACCAR Inc,Common Stock,Industrials,01/11/2023
QQQ,285512109,EA ,"3,630,053","457,785,983.83",0.306,Electronic Arts Inc,Common Stock,Communication Services,01/11/2023
QQQ,679580100,ODFL ,"1,452,648","454,795,035.84",0.304,Old Dominion Freight Line Inc,Common Stock,Industrials,01/11/2023
QQQ,98138H101,WDAY ,"2,655,933","435,360,537.36",0.291,Workday Inc,Common Stock,Information Technology,01/11/2023
QQQ,22160N109,CSGP ,"5,347,286","431,793,344.50",0.289,CoStar Group Inc,Common Stock,Industrials,01/11/2023
QQQ,573874104,MRVL ,"11,210,234","430,697,190.28",0.288,Marvell Technology Inc,Common Stock,Information Technology,01/11/2023
QQQ,256746108,DLTR ,"2,908,253","430,246,948.82",0.288,Dollar Tree Inc,Common Stock,Consumer Discretionary,01/11/2023
QQQ,29355A107,ENPH ,"1,787,183","426,815,044.06",0.286,Enphase Energy Inc,Common Stock,Information Technology,01/11/2023
QQQ,931427108,WBA ,"11,370,741","422,081,905.92",0.283,Walgreens Boots Alliance Inc,Common Stock,Consumer Staples,01/11/2023
QQQ,452327109,ILMN ,"2,068,268","422,030,085.40",0.283,Illumina Inc,Common Stock,Health Care,01/11/2023
QQQ,192446102,CTSH ,"6,757,204","415,568,046.00",0.278,Cognizant Technology Solutions Corp,Common Stock,Information Technology,01/11/2023
QQQ,G39387108,GFS ,"7,166,812","409,009,960.84",0.274,GLOBALFOUNDRIES Inc,Common Stock,Information Technology,01/11/2023
QQQ,05722G100,BKR ,"13,167,540","405,955,258.20",0.272,Baker Hughes Co,Common Stock,Energy,01/11/2023
QQQ,47215P106,JD ,"6,387,265","402,653,185.60",0.270,JD.com Inc ADR,American Depository Receipt,Consumer Discretionary,01/11/2023
QQQ,934423104,WBD ,"31,929,329","402,309,545.40",0.269,Warner Bros Discovery Inc,Common Stock,Communication Services,01/11/2023
