Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
QQQ,49271V100,KDP ,"18,140,416","629,653,839.36",0.425,Keurig Dr Pepper Inc,Common Stock,Consumer Staples,01/20/2023
QQQ,127387108,CDNS ,"3,513,700","626,352,162.00",0.422,Cadence Design Systems Inc,Common Stock,Information Technology,01/20/2023
QQQ,500754106,KHC ,"15,689,544","625,699,014.72",0.422,Kraft Heinz Co/The,Common Stock,Consumer Staples,01/20/2023
QQQ,025537101,AEP ,"6,581,849","606,649,022.33",0.409,American Electric Power Co Inc,Common Stock,Utilities,01/20/2023
QQQ,052769106,ADSK ,"2,764,753","569,262,642.70",0.384,Autodesk Inc,Common Stock,Information Technology,01/20/2023
QQQ,172908105,CTAS ,"1,300,693","567,817,529.15",0.383,Cintas Corp,Common Stock,Industrials,01/20/2023
QQQ,697435105,PANW ,"3,872,945","565,837,264.50",0.382,Palo Alto Networks Inc,Common Stock,Information Technology,01/20/2023
QQQ,N6596X109,NXPI ,"3,319,003","559,252,005.50",0.377,NXP Semiconductors NV,Common Stock,Information Technology,01/20/2023
QQQ,722304102,PDD ,"5,995,439","556,616,556.76",0.375,Pinduoduo Inc ADR,American Depository Receipt,Consumer Discretionary,01/20/2023
QQQ,704326107,PAYX ,"4,616,411","544,413,349.23",0.367,Paychex Inc,Common Stock,Information Technology,01/20/2023
QQQ,046353108,AZN ,"7,825,163","541,110,021.45",0.365,AstraZeneca PLC ADR,American Depository Receipt,Health Care,01/20/2023
QQQ,30161N101,EXC ,"12,728,564","538,927,399.76",0.363,Exelon Corp,Common Stock,Utilities,01/20/2023
QQQ,252131107,DXCM ,"4,947,430","533,629,799.80",0.360,Dexcom Inc,Common Stock,Health Care,01/20/2023
QQQ,09062X103,BIIB ,"1,844,443","527,086,476.11",0.355,Biogen Inc,Common Stock,Health Care,01/20/2023
QQQ,45168D104,IDXX ,"1,060,860","518,633,236.80",0.350,IDEXX Laboratories Inc,Common Stock,Health Care,01/20/2023
QQQ,595017104,MCHP ,"7,044,892","518,504,051.20",0.350,Microchip Technology Inc,Common Stock,Information Technology,01/20/2023
QQQ,009066101,ABNB ,"5,100,831","516,612,163.68",0.348,Airbnb Inc,Common Stock,Consumer Discretionary,01/20/2023
QQQ,778296103,ROST ,"4,445,439","514,470,655.47",0.347,Ross Stores Inc,Common Stock,Consumer Discretionary,01/20/2023
QQQ,34959E109,FTNT ,"10,006,273","493,009,070.71",0.333,Fortinet Inc,Common Stock,Information Technology,01/20/2023
QQQ,550021109,LULU ,"1,566,739","490,075,959.20",0.331,Lululemon Athletica Inc,Common Stock,Consumer Discretionary,01/20/2023
QQQ,98389B100,XEL ,"7,009,370","480,492,313.50",0.324,Xcel Energy Inc,Common Stock,Utilities,01/20/2023
QQQ,98138H101,WDAY ,"2,587,267","448,632,097.80",0.303,Workday Inc,Common Stock,Information Technology,01/20/2023
QQQ,679580100,ODFL ,"1,415,118","448,620,708.36",0.303,Old Dominion Freight Line Inc,Common Stock,Industrials,01/20/2023
QQQ,285512109,EA ,"3,536,367","445,546,878.33",0.300,Electronic Arts Inc,Common Stock,Communication Services,01/20/2023
QQQ,693718108,PCAR ,"4,454,404","441,832,332.76",0.298,PACCAR Inc,Common Stock,Industrials,01/20/2023
QQQ,573874104,MRVL ,"10,920,558","431,143,629.84",0.291,Marvell Technology Inc,Common Stock,Information Technology,01/20/2023
QQQ,256746108,DLTR ,"2,833,193","418,717,593.47",0.282,Dollar Tree Inc,Common Stock,Consumer Discretionary,01/20/2023
QQQ,192446102,CTSH ,"6,582,620","412,993,578.80",0.279,Cognizant Technology Solutions Corp,Common Stock,Information Technology,01/20/2023
QQQ,452327109,ILMN ,"2,014,892","411,823,775.88",0.278,Illumina Inc,Common Stock,Health Care,01/20/2023
QQQ,22160N109,CSGP ,"5,209,120","409,020,102.40",0.276,CoStar Group Inc,Common Stock,Industrials,01/20/2023
QQQ,934423104,WBD ,"31,104,503","404,980,629.06",0.273,Warner Bros Discovery Inc,Common Stock,Communication Services,01/20/2023
QQQ,05722G100,BKR ,"12,827,268","398,543,216.76",0.269,Baker Hughes Co,Common Stock,Energy,01/20/2023
QQQ,931427108,WBA ,"11,076,895","397,438,992.60",0.268,Walgreens Boots Alliance Inc,Common Stock,Consumer Staples,01/20/2023
QQQ,G39387108,GFS ,"6,981,664","394,114,932.80",0.266,GLOBALFOUNDRIES Inc,Common Stock,Information Technology,01/20/2023
QQQ,29355A107,ENPH ,"1,741,035","387,449,928.90",0.261,Enphase Energy Inc,Common Stock,Information Technology,01/20/2023
QQQ,217204106,CPRT ,"6,100,754","387,275,863.92",0.261,Copart Inc,Common Stock,Industrials,01/20/2023
QQQ,47215P106,JD ,"6,222,133","376,003,497.19",0.254,JD.com Inc ADR,American Depository Receipt,Consumer Discretionary,01/20/2023
QQQ,92345Y106,VRSK ,"2,003,158","363,793,524.38",0.245,Verisk Analytics Inc,Common Stock,Industrials,01/20/2023
QQQ,311900104,FAST ,"7,336,214","359,474,486.00",0.242,Fastenal Co,Common Stock,Industrials,01/20/2023
QQQ,21037T109,CEG ,"4,188,408","347,637,864.00",0.234,Constellation Energy Corp,Common Stock,Utilities,01/20/2023
QQQ,25278X109,FANG ,"2,254,327","332,625,948.85",0.224,Diamondback Energy Inc,Common Stock,Energy,01/20/2023
QQQ,278642103,EBAY ,"6,950,762","324,322,554.92",0.219,eBay Inc,Common Stock,Consumer Discretionary,01/20/2023
QQQ,81181C104,SGEN ,"2,378,055","312,690,451.95",0.211,Seagen Inc,Common Stock,Health Care,01/20/2023
QQQ,049468101,TEAM ,"1,899,245","299,605,898.75",0.202,Atlassian Corp,Common Stock,Information Technology,01/20/2023
QQQ,82968B103,SIRI ,"49,819,770","290,947,456.80",0.196,Sirius XM Holdings Inc,Common Stock,Communication Services,01/20/2023
QQQ,22788C105,CRWD ,"2,795,768","289,110,368.88",0.195,Crowdstrike Holdings Inc,Common Stock,Information Technology,01/20/2023
QQQ,03662Q105,ANSS ,"1,115,989","286,161,899.38",0.193,ANSYS Inc,Common Stock,Information Technology,01/20/2023
QQQ,23804L103,DDOG ,"3,740,699","265,776,663.95",0.179,Datadog Inc,Common Stock,Information Technology,01/20/2023
QQQ,016255101,ALGN ,"1,000,713","243,183,266.13",0.164,Align Technology Inc,Common Stock,Health Care,01/20/2023
QQQ,98980L101,ZM ,"3,146,544","218,684,808.00",0.147,Zoom Video Communications Inc,Common Stock,Information Technology,01/20/2023
QQQ,98980G102,ZS ,"1,847,247","216,349,568.64",0.146,Zscaler Inc,Common Stock,Information Technology,01/20/2023
QQQ,76954A103,RIVN ,"11,695,797","189,822,785.31",0.128,Rivian Automotive Inc,Common Stock,Consumer Discretionary,01/20/2023
QQQ,549498103,LCID ,"21,524,112","168,318,555.84",0.114,Lucid Group Inc,Common Stock,Consumer Discretionary,01/20/2023
